"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
24033806706,"Greenbelt, MD",47894
51013103502,"Aurora Highlands, Arlington, VA",47860
51013102600,"Douglas Park, Arlington, VA",47523
11001000501,"Northwest Washington, Washington, DC",47390
11001007301,"Southwest Washington, Washington, DC",47387
51013101803,"Lyon Park, Arlington, VA",47370
51013102400,"Arlington Heights, Arlington, VA",47290
11001004202,"Northwest Washington, Washington, DC",47115
51059450602,"Falls Church, VA",46916
51013100800,"High View Park, Arlington, VA",46892
24033803516,"Bowie, MD",46885
11001002600,"Northwest Washington, Washington, DC",46876
24033803520,"Bowie, MD",46851
51510201400,"Potomac West, Alexandria, VA",46825
51059420600,"Groveton, Alexandria, VA",46723
51013101500,"Lyon Village, Arlington, VA",46630
24033807102,"Riverdale, Riverdale Park, MD",46605
24033806710,"Greenbelt, MD",46533
24033807000,"College Park, MD",46453
11001001302,"Forest Hills, Washington, DC",46305
24033805801,"Adelphi, MD",46071
24033801211,"Clinton, MD",45924
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",45886
51510200407,"Landmark, Alexandria, VA",45762
11001001002,"Cathedral Heights, Washington, DC",45676
24033801104,"Joint Base Andrews, MD",45597
11001006700,"Southeast Washington, Washington, DC",45546
51510200701,"Eisenhower West, Alexandria, VA",45398
11001000702,"Northwest Washington, Washington, DC",45296
51013102001,"Buckingham, Arlington, VA",45220
51013101404,"Virginia Square, Arlington, VA",45180
51059452700,"Falls Church, VA",44940
51013101401,"Bluemont, Arlington, VA",44637
51510200201,"Seminary Hill, Alexandria, VA",44262
24033800412,"Lanham, MD",44246
11001008301,"Northeast Washington, Washington, DC",44238
51510200600,"Seminary Hill, Alexandria, VA",44095
11001005500,"Northwest Washington, Washington, DC",43898
24033800706,"Upper Marlboro, MD",43656
51013102702,"Douglas Park, Arlington, VA",43608
24033800411,"Glenn Dale, MD",43607
51013102003,"Buckingham, Arlington, VA",43365
51510200802,"Taylor Run, Alexandria, VA",43268
51059451502,"Bailey's Crossroads, VA",43226
51013102302,"Barcroft, Arlington, VA",43162
51059451601,"Bailey's Crossroads, VA",43080
51013101603,"North Rosslyn, Arlington, VA",43079
51013103300,"Arlington Views, Arlington, VA",42989
51013102500,"Penrose, Arlington, VA",42924
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",42782
51510200106,"Alexandria West, Alexandria, VA",42671
51510201801,"Northeast Alexandria, Alexandria, VA",42623
24033806200,"Hyattsville, MD",42600
24031701701,"Takoma Park, MD",42563
24033805904,"Hyattsville, MD",42551
51013103200,"Columbia Heights, Arlington, VA",42470
24033800701,"Upper Marlboro, MD",42204
24031702602,"Silver Spring, MD",42189
24033804101,"Cheverly, MD",42182
24031702700,"Silver Spring, MD",42133
51510200107,"Alexandria West, Alexandria, VA",42116
24033803605,"New Carrollton, MD",42094
51510200303,"Landmark, Alexandria, VA",41974
24033806711,"Greenbelt, MD",41919
24033806100,"Hyattsville, MD",41650
11001003900,"Lanier Heights, Washington, DC",41626
51059420503,"Alexandria, VA",41581
24031704803,"Bethesda, MD",41509
51510200105,"Alexandria West, Alexandria, VA",41432
51059451400,"Seven Corners, VA",41364
11001005301,"Northwest Washington, Washington, DC",41238
24033803521,"Bowie, MD",41195
24033801404,"National Harbor, Oxon Hill, MD",41153
24033803610,"New Carrollton, MD",41036
51013103800,"Long Branch Creek, Arlington, VA",41026
24033801901,"Temple Hills, MD",40919
11001010200,"Southwest Washington, Washington, DC",40908
51510201300,"Del Ray, Alexandria, VA",40722
24033803601,"Springdale, MD",40691
51013102801,"Columbia Forest, Arlington, VA",40660
51013101703,"Radnor - Fort Myer Heights, Arlington, VA",40558
51510200102,"Alexandria West, Alexandria, VA",40557
51013103501,"Arlington Ridge, Arlington, VA",40511
24033805802,"Hyattsville, MD",40388
24033803606,"Lanham, MD",40372
51510200406,"Landmark, Alexandria, VA",40357
51013102200,"Arlington Mill, Arlington, VA",40294
24031701703,"Takoma Park, MD",40238
51510200500,"Seminary Hill, Alexandria, VA",40232
51510200104,"Alexandria West, Alexandria, VA",40225
24033803512,"Upper Marlboro, MD",40223
24031705602,"Chevy Chase, MD",40220
24033801407,"Fort Washington, MD",40122
24033801214,"Clinton, MD",40085
51059452502,"Lincolnia, VA",40046
51013102701,"Douglas Park, Arlington, VA",39783
51510200103,"Alexandria West, Alexandria, VA",39708
11001009507,"Northeast Washington, Washington, DC",39542
