tract,Name,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall
24033802804,"Capitol Heights, MD",0.2351
11001002600,"Northwest Washington, Washington, DC",0.235
24033803401,"Landover, Hyattsville, MD",0.2349
24033803520,"Bowie, MD",0.2343
51013103300,"Arlington Views, Arlington, VA",0.2339
11001007605,"Fairlawn, Washington, DC",0.2336
24033801801,"Temple Hills, MD",0.2322
11001002801,"Columbia Heights, Washington, DC",0.2322
11001005001,"Logan Circle, Washington, DC",0.232
24033806300,"Hyattsville, MD",0.2318
24033801907,"Suitland, Suitland-Silver Hill, MD",0.2316
11001009902,"Southeast Washington, Washington, DC",0.2315
11001003700,"Northwest Washington, Washington, DC",0.2312
24033803608,"Lanham, MD",0.2311
11001002301,"Northwest Washington, Washington, DC",0.2311
24033803606,"Lanham, MD",0.2311
24033803900,"Hyattsville, MD",0.231
11001007000,"Southeast Washington, Washington, DC",0.2302
24031705602,"Chevy Chase, MD",0.2296
24033803527,"Upper Marlboro, MD",0.2294
51059430700,"Springfield, VA",0.2292
11001007408,"Southeast Washington, Washington, DC",0.229
11001003900,"Lanier Heights, Washington, DC",0.2286
51059430600,"Springfield, VA",0.2284
11001007808,"Grant Park, Washington, DC",0.2282
24033803610,"New Carrollton, MD",0.228
24033800408,"Glenn Dale, MD",0.2277
24033804300,"Hyattsville, MD",0.2274
51059450300,"Falls Church, VA",0.2268
11001007809,"Northeast Washington, Washington, DC",0.2265
11001004901,"Northwest Washington, Washington, DC",0.2261
11001007406,"Southeast Washington, Washington, DC",0.2261
24033801404,"National Harbor, Oxon Hill, MD",0.2249
24033801704,"Oxon Hill, MD",0.2245
24033806800,"Berwyn Heights, MD",0.2236
11001010300,"Northwest Washington, Washington, DC",0.2234
11001003100,"Northwest Washington, Washington, DC",0.2233
24033806601,"Prince Georges County, MD",0.2233
24033803100,"Capitol Heights, MD",0.2232
24033803700,"Hyattsville, MD",0.223
24033801904,"Suitland, Camp Springs, MD",0.2224
51059451502,"Bailey's Crossroads, VA",0.2218
11001009907,"Southeast Washington, Washington, DC",0.2204
24033805602,"Hyattsville, MD",0.2201
51013102200,"Arlington Mill, Arlington, VA",0.2197
11001007604,"Southeast Washington, Washington, DC",0.2195
11001008904,"Carver / Langston, Washington, DC",0.2191
11001002001,"16th Street Heights, Washington, DC",0.2188
24033802002,"District Heights, MD",0.2183
51059420100,"Springfield, VA",0.2177
11001009903,"Southeast Washington, Washington, DC",0.2176
24033803605,"New Carrollton, MD",0.2175
24033803524,"Hyattsville, MD",0.2174
11001009804,"Southeast Washington, Washington, DC",0.2173
24033801405,"Oxon Hill, MD",0.2168
24033802600,"Capitol Heights, MD",0.2166
24033801408,"Fort Washington, MD",0.216
51013102002,"Ashton Heights, Arlington, VA",0.2158
24033802501,"Suitland, Suitland-Silver Hill, MD",0.2158
51510200600,"Seminary Hill, Alexandria, VA",0.2156
11001009905,"Marshall Heights, Washington, DC",0.2156
11001009906,"Marshall Heights, Washington, DC",0.215
51059452101,"Annandale, VA",0.2144
51059451800,"Lincolnia, VA",0.2141
24031702700,"Silver Spring, MD",0.2131
11001008410,"Northeast Washington, Washington, DC",0.2128
11001006900,"Southeast Washington, Washington, DC",0.2125
51059450400,"Falls Church, VA",0.2124
11001007502,"Southeast Washington, Washington, DC",0.2122
